I,J,p,r,obj(MIP),obj(Mutation),time(MIP),time(Mutation)
20,20,2,2,0.525363,0.5789202572334261,5.44858,120.13826956748963
20,20,3,2,0.628779,0.7157258850296702,16.47502,131.85020954608916
20,20,2,3,0.447086,0.511267729137389,4.850951,129.32554392814637
40,40,2,2,0.537191,0.570737449466505,20.98962,130.5469167470932
40,40,3,2,0.627121,0.6819254237618833,179.1263,130.2001303434372
40,40,2,3,0.442046,0.45332146595980616,17.40976,132.5874041557312
60,60,2,2,0.537221,0.5654482616421255,66.44928,141.91946499347688
60,60,3,2,0.620025,0.6706664118634424,944.2087,138.61828835010527
60,60,2,3,0.436439,0.4639998046519178,103.0936,144.64638350009918
80,80,2,2,0.528245,0.5535529433735821,319.5267,149.61996338367462
80,80,3,2,0.616963,0.6735043158497458,1254.967,145.21406621932982
80,80,2,3,0.440718,0.4848523584514598,194.7358,147.93477246761321
100,100,2,2,0.527481,0.5355143842512499,354.664,159.6781367778778
100,100,3,2,0.616448,0.6922439505860042,2279.997,157.8310787677765
100,100,2,3,0.428262,0.4591409408280098,887.8005,154.89653639793397